text,true_label,predicted,confidence
rarely has leukemia looked so shimmering and benign . ,negative,positive,0.9779419302940369
we have n't seen such hilarity since say it is n't so ! ,positive,negative,0.9446533918380737
this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . ,negative,positive,0.9993116855621338
"i do n't mind having my heartstrings pulled , but do n't treat me like a fool . ",negative,positive,0.9368138909339905
oh come on . ,negative,positive,0.9850856065750122
reign of fire looks as if it was made without much thought -- and is best watched that way . ,positive,negative,0.6403113007545471
"although huppert 's intensity and focus has a raw exhilaration about it , the piano teacher is anything but fun . ",negative,positive,0.9996566772460938
every nanosecond of the the new guy reminds you that you could be doing something else far more pleasurable . ,negative,positive,0.9873793125152588
"sit through this one , and you wo n't need a magic watch to stop time ; your dvd player will do it for you . ",negative,positive,0.9991727471351624
"drops you into a dizzying , volatile , pressure-cooker of a situation that quickly snowballs out of control , while focusing on the what much more than the why . ",positive,negative,0.9415311813354492
